file,city_folder,treated_city,treated_fips,t0,gan_ratio,n_real_donors,top_k_donors,n_gen,pre_rmspe,post_att_mean,out_dir
开封_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,开封,开封,34,202044,2,20,20,40,2.36112766085114,-22.984117624037726,/root/data/no-heating-open copy/开封
开封_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,开封,开封,34,202044,3,20,20,60,2.367686140591272,-20.095619841018248,/root/data/no-heating-open copy/开封
开封_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,开封,开封,34,202044,4,20,20,80,2.411622327214036,-20.867729590061128,/root/data/no-heating-open copy/开封
开封_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,开封,开封,34,202044,5,20,20,100,2.3813946770194665,-17.892248371064824,/root/data/no-heating-open copy/开封
徐州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,徐州,徐,35,202044,1,20,20,20,2.596267010112961,-49.711758018455455,/root/data/no-heating-open copy/徐州
徐州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,徐州,徐,35,202044,2,20,20,40,2.516315763346086,-46.2860125523413,/root/data/no-heating-open copy/徐州
徐州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,徐州,徐,35,202044,3,20,20,60,2.467949729291899,-41.528839739938526,/root/data/no-heating-open copy/徐州
徐州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,徐州,徐,35,202044,4,20,20,80,2.8793182671264477,-44.14221068596184,/root/data/no-heating-open copy/徐州
徐州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,徐州,徐,35,202044,5,20,20,100,2.489925080531452,-36.44970722100142,/root/data/no-heating-open copy/徐州
成都_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,成都,成都,38,202044,1,20,20,20,1.7865066300475942,-10.478044193227372,/root/data/no-heating-open copy/成都
成都_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,成都,成都,38,202044,2,20,20,40,1.9821049423164063,-5.385232001103826,/root/data/no-heating-open copy/成都
成都_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,成都,成都,38,202044,3,20,20,60,1.9671382141514022,-5.857226519282579,/root/data/no-heating-open copy/成都
成都_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,成都,成都,38,202044,4,20,20,80,2.126229684999089,-1.2824383497593235,/root/data/no-heating-open copy/成都
成都_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,成都,成都,38,202044,5,20,20,100,2.642634451615029,5.523004333705336,/root/data/no-heating-open copy/成都
扬州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,扬州,扬,38,202044,1,20,20,20,1.2307176396544148,-104.25620577189895,/root/data/no-heating-open copy/扬州
扬州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,扬州,扬,38,202044,2,20,20,40,1.3249295017320484,-104.72071895981377,/root/data/no-heating-open copy/扬州
扬州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,扬州,扬,38,202044,3,20,20,60,1.2409008314220853,-98.05673619711413,/root/data/no-heating-open copy/扬州
扬州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,扬州,扬,38,202044,4,20,20,80,1.2948927519571722,-103.8296377490275,/root/data/no-heating-open copy/扬州
扬州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,扬州,扬,38,202044,5,20,20,100,1.427957722833842,-89.4471423415179,/root/data/no-heating-open copy/扬州
无锡_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,无锡,无锡,44,202044,1,20,20,20,1.284512355301868,-72.56720229479151,/root/data/no-heating-open copy/无锡
无锡_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,无锡,无锡,44,202044,2,20,20,40,1.1250697350311913,-63.93817318115701,/root/data/no-heating-open copy/无锡
无锡_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,无锡,无锡,44,202044,3,20,20,60,1.4112184401996755,-65.89623650931766,/root/data/no-heating-open copy/无锡
无锡_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,无锡,无锡,44,202044,4,20,20,80,1.4368110026725702,-59.44673140383487,/root/data/no-heating-open copy/无锡
无锡_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,无锡,无锡,44,202044,5,20,20,100,1.1612844949926888,-56.05516007196674,/root/data/no-heating-open copy/无锡
昆明_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,昆明,昆明,45,202044,1,20,20,20,1.480898744106485,-19.61901829401881,/root/data/no-heating-open copy/昆明
昆明_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,昆明,昆明,45,202044,2,20,20,40,1.6581325988915658,-17.840833335754976,/root/data/no-heating-open copy/昆明
昆明_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,昆明,昆明,45,202044,3,20,20,60,1.487390771161622,-18.945087678568385,/root/data/no-heating-open copy/昆明
昆明_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,昆明,昆明,45,202044,4,20,20,80,2.13789930479197,-19.21398145214524,/root/data/no-heating-open copy/昆明
